Drug name	Disease name
Desflurane	Insensitivity To Pain With Hyperplastic Myelinopathy
Desflurane	Renal Failure, Progressive, With Hypertension
Desipramine	Attention Deficit-Hyperactivity Disorder; Adhd
Desipramine	Insensitivity To Pain With Hyperplastic Myelinopathy
Desmopressin	Diabetes Insipidus, Neurohypophyseal
Desmopressin	Diabetes Insipidus, Neurohypophyseal Type
Desmopressin	Enuresis, Nocturnal, 1; Enur1
Desmopressin	Enuresis, Nocturnal, 2; Enur2
Desmopressin	Factor Vii And Factor Viii, Combined Deficiency Of
Desogestrel	Endometriosis, Susceptibility To, 1
Desogestrel	Polycystic Ovary Syndrome 1; Pcos1
Desogestrel	Uterine Anomalies
Desonide	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Desoximetasone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Dexamethasone	Asthma, Nasal Polyps, And Aspirin Intolerance
Dexamethasone	Dermatosis Papulosa Nigra
Dexamethasone	Dohle Bodies And Leukemia
Dexamethasone	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Dexamethasone	Exostoses Of Heel
Dexamethasone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Dexamethasone	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Dexamethasone	Hyperthermia, Cutaneous, With Headaches And Nausea
Dexamethasone	Macular Edema, Cystoid
Dexamethasone	Mismatch Repair Cancer Syndrome
Dexamethasone	Mycosis Fungoides
Dexamethasone	Otitis Media, Susceptibility To
Dexamethasone	Sarcoidosis, Susceptibility To, 1; Ss1
Dexamethasone	Spastic Paraplegia And Evans Syndrome
Dexamethasone	Systemic Lupus Erythematosus; Sle
Dexamethasone	Thrombocytopenic Purpura, Autoimmune; Aitp
Dexrazoxane	Ataxia, Deafness, And Cardiomyopathy
Dexrazoxane	Cardiomyopathy Associated With Myopathy And Sudden Death
Dexrazoxane	Cardiomyopathy, Congestive, With Hypergonadotropic Hypogonadism
Dexrazoxane	Cataract And Cardiomyopathy
Dexrazoxane	Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,
Dexrazoxane	Endocardial Fibroelastosis
Dexrazoxane	Endocardial Fibroelastosis; Efe
Dextroamphetamine	Attention Deficit-Hyperactivity Disorder; Adhd
Dextroamphetamine	Flushing Of Ears And Somnolence
Dextromethorphan	Hyperthermia, Cutaneous, With Headaches And Nausea
Dextromethorphan	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Diazepam	Choreoathetosis/Spasticity, Episodic; Cse
Diazepam	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Diazepam	Meniere Disease
Dibucaine	Insensitivity To Pain With Hyperplastic Myelinopathy
Diclofenac	Ankylosing Vertebral Hyperostosis With Tylosis
Diclofenac	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Diclofenac	Ichthyosis Follicularis, Atrichia, And Photophobia Syndrome
Diclofenac	Insensitivity To Pain With Hyperplastic Myelinopathy
Diclofenac	Legg-Calve-Perthes Disease
Diclofenac	Osteoarthritis Susceptibility 1; Os1
Diclofenac	Osteoarthritis Susceptibility 2; Os2
Diclofenac	Osteoarthritis Susceptibility 3; Os3
Diclofenac	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Dicyclomine	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Dicyclomine	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Diethylpropion	Obesity
Diethylpropion	Prolactin Deficiency With Obesity And Enlarged Testes
Diethylstilbestrol	Mismatch Repair Cancer Syndrome
Diflunisal	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Diflunisal	Insensitivity To Pain With Hyperplastic Myelinopathy
Diflunisal	Osteoarthritis Susceptibility 1; Os1
Diflunisal	Osteoarthritis Susceptibility 2; Os2
Diflunisal	Osteoarthritis Susceptibility 3; Os3
Diflunisal	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Digoxin	Atrial Fibrillation, Familial, 1; Atfb1
Digoxin	Atrial Fibrillation, Familial, 3; Atfb3
Dihydrocodeine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Dihydroergotamine	Hyperthermia, Cutaneous, With Headaches And Nausea
Dihydroergotamine	Migraine With Or Without Aura, Susceptibility To, 1
Dihydroergotamine	Migraine, Familial Typical, Susceptibility To, 2
Dihydrotachysterol	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Dihydrotachysterol	Hypophosphatemia, Renal, With Intracerebral Calcifications
Diltiazem	Atrial Fibrillation, Familial, 1; Atfb1
Diltiazem	Atrial Fibrillation, Familial, 3; Atfb3
Diltiazem	Hypertension, Diastolic, Resistance To
Diltiazem	Raynaud Disease
Diltiazem	Renal Failure, Progressive, With Hypertension
Dinoprostone	Hydatidiform Mole
Diphenhydramine	Hyperthermia, Cutaneous, With Headaches And Nausea
Diphenhydramine	Insect Stings, Hypersensitivity To
Diphenhydramine	Motion Sickness
Diphenhydramine	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Diphenidol	Hyperthermia, Cutaneous, With Headaches And Nausea
Diphenidol	Meniere Disease
Dipivefrin	Glaucoma 1, Open Angle, A; Glc1A
Dipivefrin	Glaucoma 1, Open Angle, C; Glc1C
Dipivefrin	Glaucoma, Primary Open Angle; Poag
Dipivefrin	Renal Failure, Progressive, With Hypertension
Dipyridamole	Stroke, Ischemic
Disopyramide	Cardiac Arrhythmia
Disulfiram	Alcohol Dependence
Divalproex Sodium	Migraine With Or Without Aura, Susceptibility To, 1
Divalproex Sodium	Migraine, Familial Typical, Susceptibility To, 2
Docetaxel	Breast Cancer
Docetaxel	Gastric Cancer
Docetaxel	Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2
Docetaxel	Melanoma, Cutaneous Malignant; Cmm
Docetaxel	Mismatch Repair Cancer Syndrome
Docetaxel	Prostate Cancer
Dofetilide	Atrial Fibrillation, Familial, 1; Atfb1
Dofetilide	Atrial Fibrillation, Familial, 3; Atfb3
Dofetilide	Cardiac Arrhythmia
Dolasetron	Hyperthermia, Cutaneous, With Headaches And Nausea
Donepezil	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Donepezil	Alzheimer Disease; Ad
Donepezil	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Dopamine	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Dopamine	Nephrolithiasis, X-Linked Recessive, With Renal Failure; Xrn
Dopamine	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy
Dopamine	Renal Failure, Progressive, With Hypertension
Dorzolamide	Glaucoma 1, Open Angle, A; Glc1A
Dorzolamide	Glaucoma 1, Open Angle, C; Glc1C
Dorzolamide	Glaucoma, Primary Open Angle; Poag
Dorzolamide	Renal Failure, Progressive, With Hypertension
Doxazosin	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Doxazosin	Hypertension, Diastolic, Resistance To
Doxazosin	Insensitivity To Pain With Hyperplastic Myelinopathy
Doxazosin	Prostatic Hyperplasia, Benign; Bph
Doxazosin	Raynaud Disease
Doxazosin	Renal Failure, Progressive, With Hypertension
Doxepin	Dermatitis, Atopic
Doxepin	Insensitivity To Pain With Hyperplastic Myelinopathy
Doxorubicin	Bladder Cancer
Doxorubicin	Breast Cancer
Doxorubicin	Gastric Cancer
Doxorubicin	Hodgkin Lymphoma
Doxorubicin	Leukemia, Acute Myeloid; Aml
Doxorubicin	Lung Cancer
Doxorubicin	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Doxorubicin	Mismatch Repair Cancer Syndrome
Doxorubicin	Myeloma, Multiple
Doxorubicin	Neuroblastoma, Susceptibility To
Doxorubicin	Osteogenic Sarcoma
Doxorubicin	Rhabdomyosarcoma 2; Rms2
Doxorubicin	Thyroid Carcinoma, Follicular; Ftc
Doxorubicin	Wilms Tumor 1; Wt1
Doxylamine	Hyperthermia, Cutaneous, With Headaches And Nausea
Doxylamine	Insect Stings, Hypersensitivity To
Drospirenone	Polycystic Ovary Syndrome 1; Pcos1
Drospirenone	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Duloxetine	Insensitivity To Pain With Hyperplastic Myelinopathy
Duloxetine	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Dyphylline	Asthma, Nasal Polyps, And Aspirin Intolerance
Dyphylline	Asthma, Susceptibility To
Dyphylline	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Eletriptan	Migraine With Or Without Aura, Susceptibility To, 1
Eletriptan	Migraine With Or Without Aura, Susceptibility To, 3
Eletriptan	Migraine With Or Without Aura, Susceptibility To, 5
Eletriptan	Migraine With Or Without Aura, Susceptibility To, 6
Eletriptan	Migraine Without Aura, Susceptibility To, 4
Eletriptan	Migraine, Familial Typical, Susceptibility To, 2
Enalapril	Hypertension, Diastolic, Resistance To
Enalapril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Encainide	Cardiac Arrhythmia
Enoxaparin	Bernard-Soulier Syndrome; Bss
Enoxaparin	May-Hegglin Anomaly; Mha
Enoxaparin	Thrombasthenia Of Glanzmann And Naegeli
Enoxaparin	Thrombosis, Susceptibility To
Entacapone	Paralysis Agitans, Juvenile, Of Hunt
Entacapone	Parkinson Disease; Pd
Ephedrine	Asthma, Nasal Polyps, And Aspirin Intolerance
Ephedrine	Asthma, Susceptibility To
Epinephrine	Asthma, Nasal Polyps, And Aspirin Intolerance
Epinephrine	Asthma, Susceptibility To
Epinephrine	Glaucoma 1, Open Angle, A; Glc1A
Epinephrine	Glaucoma 1, Open Angle, C; Glc1C
Epinephrine	Glaucoma, Primary Open Angle; Poag
Epinephrine	Insect Stings, Hypersensitivity To
Epirubicin	Breast Cancer
Epirubicin	Mismatch Repair Cancer Syndrome
Epoprostenol	Pulmonary Hypertension, Primary, 1; Pph1
Epoprostenol	Renal Failure, Progressive, With Hypertension
Epoprostenol	Thrombocytopenic Purpura, Autoimmune; Aitp
Eprosartan	Hypertension, Diastolic, Resistance To
Eprosartan	Renal Failure, Progressive, With Hypertension
Ergocalciferol	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Ergocalciferol	Hypophosphatemia, Renal, With Intracerebral Calcifications
Ergocalciferol	Osteomalacia, Sclerosing, With Cerebral Calcification
Ergocalciferol	Vitamin D-Dependent Rickets, Type 2A; Vddr2A
Ergotamine	Migraine With Or Without Aura, Susceptibility To, 1
Ergotamine	Migraine, Familial Typical, Susceptibility To, 2
Erlotinib	Renal Cell Carcinoma, Nonpapillary; Rcc
Erythromycin	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Escitalopram	Obsessive-Compulsive Disorder; Ocd
Esmolol	Hypertension, Diastolic, Resistance To
Esmolol	Renal Failure, Progressive, With Hypertension
Esomeprazole	Gastroesophageal Reflux
Esomeprazole	Helicobacter Pylori Infection, Susceptibility To
Esomeprazole	Tremor, Nystagmus, And Duodenal Ulcer
Estradiol	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Estradiol	Breast Cancer
Estradiol	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Estradiol	Premature Ovarian Failure 1; Pof1
Estradiol	Prostate Cancer
Estramustine	Prostate Cancer
Estramustine	Prostate Cancer, Hereditary, 1; Hpc1
Estrone	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Estrone	Premature Ovarian Failure 1; Pof1
Ethacrynic Acid	Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis
Ethacrynic Acid	Ascites, Chylous
Ethacrynic Acid	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Ethacrynic Acid	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Ethacrynic Acid	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Ethacrynic Acid	Hypertension, Diastolic, Resistance To
Ethacrynic Acid	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Ethacrynic Acid	Renal Failure, Progressive, With Hypertension
Ethanol	Insensitivity To Pain With Hyperplastic Myelinopathy
Ethinyl Estradiol	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Ethinyl Estradiol	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Ethinyl Estradiol	Endometriosis, Susceptibility To, 1
Ethinyl Estradiol	Polycystic Ovary Syndrome 1; Pcos1
Ethinyl Estradiol	Premature Ovarian Failure 1; Pof1
Ethinyl Estradiol	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
Ethinyl Estradiol	Uterine Anomalies
Ethosuximide	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Ethotoin	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Ethotoin	Hyperphosphatemia, Polyuria, And Seizures
Etodolac	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Etodolac	Insensitivity To Pain With Hyperplastic Myelinopathy
Etodolac	Osteoarthritis Susceptibility 1; Os1
Etodolac	Osteoarthritis Susceptibility 2; Os2
Etodolac	Osteoarthritis Susceptibility 3; Os3
Etodolac	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Etoposide	Hodgkin Lymphoma
Etoposide	Mismatch Repair Cancer Syndrome
Etoposide	Small Cell Cancer Of The Lung
Etoposide	Testicular Tumors
Everolimus	Leiomyomatosis And Renal Cell Cancer, Hereditary
Everolimus	Renal Cell Carcinoma, Nonpapillary; Rcc
Exemestane	Breast Cancer
Famotidine	Gastroesophageal Reflux
Famotidine	Helicobacter Pylori Infection, Susceptibility To
Famotidine	Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;
Famotidine	Tremor, Nystagmus, And Duodenal Ulcer
Felbamate	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
Felodipine	Hypertension, Diastolic, Resistance To
Felodipine	Raynaud Disease
Felodipine	Renal Failure, Progressive, With Hypertension
Fenofibrate	Hypercholesterolemia, Autosomal Dominant, Type B
Fenofibrate	Hyperlipoproteinemia, Type V
Fenoldopam	Hypertension, Diastolic, Resistance To
Fenoldopam	Renal Failure, Progressive, With Hypertension
Fenoprofen	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Fenoprofen	Insensitivity To Pain With Hyperplastic Myelinopathy
Fenoprofen	Osteoarthritis Susceptibility 1; Os1
Fenoprofen	Osteoarthritis Susceptibility 2; Os2
Fenoprofen	Osteoarthritis Susceptibility 3; Os3
Fenoprofen	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Fentanyl	Insensitivity To Pain With Hyperplastic Myelinopathy
Finasteride	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Finasteride	Alopecia, Androgenetic, 1; Aga1
Finasteride	Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality
Finasteride	Insensitivity To Pain With Hyperplastic Myelinopathy
Finasteride	Prostatic Hyperplasia, Benign; Bph
Flavoxate	Bernard-Soulier Syndrome; Bss
Flavoxate	May-Hegglin Anomaly; Mha
Flavoxate	Thrombasthenia Of Glanzmann And Naegeli
Flecainide	Atrial Fibrillation, Familial, 3; Atfb3
Flucytosine	Candidiasis, Familial, 1; Candf1
Flucytosine	Candidiasis, Familial, 2; Candf2
Fludarabine	Dohle Bodies And Leukemia
Fludarabine	Hodgkin Lymphoma
Fludarabine	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Fludarabine	Leukemia, Chronic Lymphocytic; Cll
Fludarabine	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Fludarabine	Mismatch Repair Cancer Syndrome
Fludarabine	Reticulum Cell Sarcoma
Fludrocortisone	Mitral Valve Prolapse, Familial; Mvp
Fludrocortisone	Motor Neuropathy, Peripheral, With Dysautonomia
Flunisolide	Asthma, Nasal Polyps, And Aspirin Intolerance
Flunisolide	Asthma, Susceptibility To
Fluocinolone Acetonide	Dermatitis, Atopic
Fluorometholone	Woolly Hair, Hypotrichosis, Everted Lower Lip, And Outstanding Ears
Fluorouracil	Ankylosing Vertebral Hyperostosis With Tylosis
Fluorouracil	Breast Cancer
Fluorouracil	Colorectal Cancer; Crc
Fluorouracil	Gastric Cancer
Fluorouracil	Mismatch Repair Cancer Syndrome
Fluoxetine	Bulimia Nervosa, Susceptibility To, 1; Buln1
Fluoxetine	Camurati-Engelmann Disease
Fluoxetine	Motor Neuropathy, Peripheral, With Dysautonomia
Fluoxetine	Obsessive-Compulsive Disorder; Ocd
Fluoxetine	Panic Disorder 1; Pand1
Fluoxetine	Schizophrenia; Sczd
Fluoxymesterone	Breast Cancer
Fluoxymesterone	Chorioretinal Dystrophy, Spinocerebellar Ataxia, And Hypogonadotropic
Fluoxymesterone	Hypogonadism, Male
Fluphenazine	Schizophrenia; Sczd
Flurandrenolide	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Flurbiprofen	Adie Pupil
Flurbiprofen	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Flurbiprofen	Macular Edema, Cystoid
Flurbiprofen	Osteoarthritis Susceptibility 1; Os1
Flurbiprofen	Osteoarthritis Susceptibility 2; Os2
Flurbiprofen	Osteoarthritis Susceptibility 3; Os3
Flurbiprofen	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Flutamide	Prostate Cancer
Fluticasone Propionate	Asthma, Nasal Polyps, And Aspirin Intolerance
Fluticasone Propionate	Asthma, Susceptibility To
Fluvastatin	Hypercholesterolemia, Autosomal Dominant, Type B
Fluvoxamine	Obsessive-Compulsive Disorder; Ocd
Fluvoxamine	Panic Disorder 1; Pand1
Fondaparinux Sodium	Thrombosis, Susceptibility To
Formoterol	Asthma, Nasal Polyps, And Aspirin Intolerance
Formoterol	Asthma, Susceptibility To
Formoterol	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Fosinopril	Hypertension, Diastolic, Resistance To
Fosinopril	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Fosinopril	Renal Failure, Progressive, With Hypertension
Fosphenytoin	Convulsive Disorder, Familial, With Prenatal Or Early Onset
Fosphenytoin	Hyperphosphatemia, Polyuria, And Seizures
Frovatriptan	Migraine With Or Without Aura, Susceptibility To, 1
Fulvestrant	Breast Cancer
Fumarate	Iron-Refractory Iron Deficiency Anemia; Irida
Furosemide	Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis
Furosemide	Ascites, Chylous
Furosemide	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification
Furosemide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Furosemide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Furosemide	Hypercalcemia, Idiopathic, Of Infancy
Furosemide	Hypertension, Diastolic, Resistance To
Furosemide	Hypoparathyroidism, Sensorineural Deafness, And Renal Disease
Furosemide	Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis
Furosemide	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy
Furosemide	Renal Failure, Progressive, With Hypertension
Gabapentin	Ataxia With Myoclonic Epilepsy And Presenile Dementia
Gabapentin	Epilepsy, Childhood Absence, Susceptibility To, 1; Eca1
Gabapentin	Epilepsy, Childhood Absence, Susceptibility To, 2; Eca2
Gabapentin	Epilepsy, Idiopathic Generalized, Susceptibility To, 11; Eig11
Gabapentin	Epilepsy, Idiopathic Generalized, Susceptibility To, 7; Eig7
Gabapentin	Epilepsy, Idiopathic Generalized, Susceptibility To, 9; Eig9
Gabapentin	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1
Gabapentin	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And
Gabapentin	Epilepsy, X-Linked, With Variable Learning Disabilities And Behavior
Gabapentin	Hyperhidrosis Palmaris Et Plantaris
Gabapentin	Insensitivity To Pain With Hyperplastic Myelinopathy
Gabapentin	Migraine With Or Without Aura, Susceptibility To, 1
Gabapentin	Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal
Gabapentin	Restless Legs Syndrome, Susceptibility To, 1; Rls1
Gabapentin	Retinal Degeneration And Epilepsy
Gabapentin	Tremor, Hereditary Essential, 1; Etm1
Galantamine	Alzheimer Disease, Familial Early-Onset, With Coexisting Amyloid And
Galantamine	Alzheimer Disease; Ad
Galantamine	Dementia/Parkinsonism With Non-Alzheimer Amyloid Plaques
Gemcitabine	Breast Cancer
Gemcitabine	Leiomyomatosis And Renal Cell Cancer, Hereditary
Gemcitabine	Renal Cell Carcinoma, Nonpapillary; Rcc
Gemfibrozil	Hypercholesterolemia, Autosomal Dominant, Type B
Gemfibrozil	Hyperlipoproteinemia, Type V
Gemfibrozil	Pancreatitis, Sclerosing Cholangitis, And Sicca Complex
Glatiramer Acetate	Multiple Sclerosis, Susceptibility To; Ms
Glibenclamide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Glibenclamide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Glibenclamide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Glibenclamide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Gliclazide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Glimepiride	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Glimepiride	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Glimepiride	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Glimepiride	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Glipizide	Diabetes Mellitus, Noninsulin-Dependent; Niddm
Glipizide	Maturity-Onset Diabetes Of The Young, Type 1; Mody1
Glipizide	Maturity-Onset Diabetes Of The Young, Type 2; Mody2
Glipizide	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
Glucosamine	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Glucosamine	Osteoarthritis Susceptibility 1; Os1
Glucosamine	Osteoarthritis Susceptibility 2; Os2
Glucosamine	Osteoarthritis Susceptibility 3; Os3
Glucosamine	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Gonadorelin	Hypogonadotropic Hypogonadism
Goserelin	Breast Cancer
Goserelin	Endometriosis, Susceptibility To, 1
Goserelin	Prostate Cancer
Goserelin	Prostate Cancer, Hereditary, 1; Hpc1
Granisetron	Hyperthermia, Cutaneous, With Headaches And Nausea
Guanadrel Sulfate	Hypertension, Diastolic, Resistance To
Guanadrel Sulfate	Renal Failure, Progressive, With Hypertension
Guanethidine	Hypertension, Diastolic, Resistance To
Guanethidine	Renal Failure, Progressive, With Hypertension
Guanfacine	Attention Deficit-Hyperactivity Disorder; Adhd
Guanfacine	Hypertension, Diastolic, Resistance To
Guanfacine	Renal Failure, Progressive, With Hypertension
Guanidine	Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia
Guanidine	Cranial Nerves, Recurrent Paresis Of
Guanidine	Spastic Paraparesis And Deafness
Halobetasol Propionate	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Haloperidol	Dementia, Lewy Body; Dlb
Haloperidol	Gilles De La Tourette Syndrome; Gts
Haloperidol	Schizophrenia; Sczd
Haloperidol	Spastic Paraplegia, Optic Atrophy, And Dementia
Heparin	Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts
Heparin	Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like
Heparin	Stroke, Ischemic
Hydralazine	Hypertension, Diastolic, Resistance To
Hydralazine	Hypertension, Essential
Hydralazine	Renal Failure, Progressive, With Hypertension
Hydrochlorothiazide	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Hydrochlorothiazide	Ascites, Chylous
Hydrochlorothiazide	Diabetes Insipidus, Neurohypophyseal
Hydrochlorothiazide	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency
Hydrochlorothiazide	Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia
Hydrochlorothiazide	Hypertension, Diastolic, Resistance To
Hydrochlorothiazide	Renal Failure, Progressive, With Hypertension
Hydrocodone	Insensitivity To Pain With Hyperplastic Myelinopathy
Hydrocodone	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Hydrocortisone	Dermatosis Papulosa Nigra
Hydrocortisone	Growth Retardation, Small And Puffy Hands And Feet, And Eczema
Hydrocortisone	Otitis Media, Susceptibility To
Hydromorphone	Insensitivity To Pain With Hyperplastic Myelinopathy
Hydromorphone	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
Hydroxyurea	Leiomyomatosis And Renal Cell Cancer, Hereditary
Hydroxyurea	Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2
Hydroxyurea	Melanoma, Cutaneous Malignant; Cmm
Hydroxyurea	Mismatch Repair Cancer Syndrome
Hydroxyurea	Polycythemia Vera
Hydroxyurea	Renal Cell Carcinoma, Nonpapillary; Rcc
Hydroxyurea	Thrombocythemia, Essential
Hydroxyzine	Hyperthermia, Cutaneous, With Headaches And Nausea
Hydroxyzine	Insensitivity To Pain With Hyperplastic Myelinopathy
Hyoscyamine	Acanthosis Nigricans With Muscle Cramps And Acral Enlargement
Hyoscyamine	Enterocolitis
Hyoscyamine	Hyperhidrosis Palmaris Et Plantaris
Hyoscyamine	Pelger-Huet-Like Anomaly And Episodic Fever With Abdominal Pain
Hyoscyamine	Tremor, Nystagmus, And Duodenal Ulcer
Ibandronate	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible
Ibandronate	Osteoporosis
Ibuprofen	Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac
Ibuprofen	Hyperthermia, Cutaneous, With Headaches And Nausea
Ibuprofen	Insensitivity To Pain With Hyperplastic Myelinopathy
Ibuprofen	Legg-Calve-Perthes Disease
Ibuprofen	Motor Neuropathy, Peripheral, With Dysautonomia
Ibuprofen	Osteoarthritis Susceptibility 1; Os1
Ibuprofen	Osteoarthritis Susceptibility 2; Os2
Ibuprofen	Osteoarthritis Susceptibility 3; Os3
Ibuprofen	Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando
Ibutilide	Atrial Fibrillation, Familial, 1; Atfb1
Ibutilide	Atrial Fibrillation, Familial, 3; Atfb3
Idarubicin	Dohle Bodies And Leukemia
Idarubicin	Leukemia, Acute Myeloid; Aml
Idarubicin	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Ifosfamide	Hodgkin Lymphoma
Ifosfamide	Leukemia, Chronic Lymphocytic, Susceptibility To, 2
Ifosfamide	Leukemia, Chronic Lymphocytic; Cll
Ifosfamide	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Ifosfamide	Mismatch Repair Cancer Syndrome
Ifosfamide	Testicular Tumors
Iloprost	Hypertension, Diastolic, Resistance To
Iloprost	Hypertension, Essential
Iloprost	Pulmonary Hypertension, Primary, 1; Pph1
Iloprost	Renal Failure, Progressive, With Hypertension
Imatinib	Hypereosinophilic Syndrome, Idiopathic; Hes
Imatinib	Lymphoblastic Leukemia, Acute, With Lymphomatous Features; Lall
Imatinib	Mismatch Repair Cancer Syndrome
Imatinib	Myeloproliferative Disorder, Chronic, With Eosinophilia
Imipramine	Attention Deficit-Hyperactivity Disorder; Adhd
Imipramine	Enuresis, Nocturnal, 1; Enur1
