"drugid","name","atc"
"DB00847","Cysteamine","A16AA04"
"DB00849","Methylphenobarbital","N03AA01"
"DB00850","Perphenazine","N05AB03"
"DB00851","Dacarbazine","L01AX04"
"DB00852","Pseudoephedrine","R01BA02"
"DB00853","Temozolomide","L01AX03"
"DB00855","Aminolevulinicacid","L01XD04"
"DB00856","Chlorphenesin","D01AE07"
"DB00857","Terbinafine","D01AE15"
"DB00859","Penicillamine","M01CC01"
"DB00860","Prednisolone","A07EA01"
"DB00861","Diflunisal","N02BA11"
"DB00862","Vardenafil","G04BE09"
"DB00863","Ranitidine","A02BA02"
"DB00864","Tacrolimus","D11AH01"
"DB00866","Alprenolol","C07AA01"
"DB00867","Ritodrine","G02CA01"
"DB00868","Benzonatate","R05DB01"
"DB00869","Dorzolamide","S01EC03"
"DB00870","Suprofen","M01AE07"
"DB00871","Terbutaline","R03AC03"
"DB00872","Conivaptan","C03XA02"
"DB00873","Loteprednol","S01BA14"
"DB00874","Guaifenesin","R05CA03"
"DB00875","Flupentixol","N05AF01"
"DB00876","Eprosartan","C09CA02"
"DB00877","Sirolimus","L04AA10"
"DB00878","Chlorhexidine","A01AB03"
"DB00879","Emtricitabine","J05AF09"
"DB00880","Chlorothiazide","C03AA04"
"DB00881","Quinapril","C09AA06"
"DB00882","Clomifene","G03GB02"
"DB00883","IsosorbideDinitrate","C01DA08"
"DB00884","Risedronate","M05BA07"
"DB00887","Bumetanide","C03CA02"
"DB00888","Mechlorethamine","L01AA05"
"DB00889","Granisetron","A04AA02"
"DB00890","Dienestrol","G03CB01"
"DB00891","Sulfapyridine","J01EB04"
"DB00892","Oxybuprocaine","D04AB03"
"DB00896","Rimexolone","H02AB12"
"DB00897","Triazolam","N05CD05"
"DB00898","Ethanol","D08AX08"
"DB00899","Remifentanil","N01AH06"
"DB00900","Didanosine","J05AF02"
"DB00902","Methdilazine","R06AD04"
"DB00903","Ethacrynicacid","C03CC01"
"DB00904","Ondansetron","A04AA01"
"DB00905","Bimatoprost","S01EE03"
"DB00906","Tiagabine","N03AG06"
"DB00907","Cocaine","N01BC01"
"DB00908","Quinidine","C01BA01"
"DB00909","Zonisamide","N03AX15"
"DB00910","Paricalcitol","H05BX02"
"DB00911","Tinidazole","J01XD02"
"DB00912","Repaglinide","A10BX02"
"DB00913","Anileridine","N01AH05"
"DB00914","Phenformin","A10BA01"
"DB00915","Amantadine","N04BB01"
"DB00916","Metronidazole","A01AB17"
"DB00917","Dinoprostone","G02AD02"
"DB00918","Almotriptan","N02CC05"
"DB00919","Spectinomycin","J01XX04"
"DB00920","Ketotifen","R06AX17"
"DB00921","Buprenorphine","N02AE01"
"DB00922","Levosimendan","C01CX08"
"DB00923","Ceforanide","J01DC11"
"DB00924","Cyclobenzaprine","M03BX08"
"DB00925","Phenoxybenzamine","C04AX02"
"DB00927","Famotidine","A02BA03"
"DB00928","Azacitidine","L01BC07"
"DB00929","Misoprostol","A02BB01"
"DB00930","Colesevelam","C10AC04"
"DB00931","Methacycline","J01AA05"
"DB00932","Tipranavir","J05AE09"
"DB00933","Mesoridazine","N05AC03"
"DB00934","Maprotiline","N06AA21"
"DB00935","Oxymetazoline","R01AA05"
"DB00936","Salicylicacid","D01AE12"
"DB00937","Diethylpropion","A08AA03"
"DB00938","Salmeterol","R03AC12"
"DB00939","Meclofenamicacid","M01AG04"
"DB00940","Methantheline","A03AB07"
"DB00941","Hexafluronium","M03AC05"
"DB00943","Zalcitabine","J05AF03"
"DB00944","Demecarium","S01EB04"
"DB00945","Acetylsalicylicacid","A01AD05"
"DB00946","Phenprocoumon","B01AA04"
"DB00947","Fulvestrant","L02BA03"
"DB00948","Mezlocillin","J01CA10"
"DB00949","Felbamate","N03AX10"
"DB00950","Fexofenadine","R06AX26"
"DB00951","Isoniazid","J04AC01"
"DB00952","Naratriptan","N02CC02"
"DB00953","Rizatriptan","N02CC04"
"DB00954","Dirithromycin","J01FA13"
"DB00955","Netilmicin","J01GB07"
"DB00956","Hydrocodone","R05DA03"
"DB00958","Carboplatin","L01XA02"
"DB00959","Methylprednisolone","D07AA01"
"DB00960","Pindolol","C07AA03"
"DB00961","Mepivacaine","N01BB03"
"DB00962","Zaleplon","N05CF03"
"DB00963","Bromfenac","S01BC11"
"DB00964","Apraclonidine","S01EA03"
"DB00966","Telmisartan","C09CA07"
"DB00967","Desloratadine","R06AX27"
"DB00969","Alosetron","A03AE01"
"DB00970","Dactinomycin","L01DA01"
"DB00971","SeleniumSulfide","D01AE13"
"DB00972","Azelastine","R01AC03"
"DB00973","Ezetimibe","C10AX09"
"DB00975","Dipyridamole","B01AC07"
"DB00976","Telithromycin","J01FA15"
"DB00977","EthinylEstradiol","G03CA01"
"DB00978","Lomefloxacin","J01MA07"
"DB00979","Cyclopentolate","S01FA04"
"DB00980","Ramelteon","N05CH02"
"DB00981","Physostigmine","S01EB05"
"DB00982","Isotretinoin","D10AD04"
"DB00983","Formoterol","R03AC13"
"DB00986","Glycopyrrolate","A03AB02"
"DB00987","Cytarabine","L01BC01"
"DB00988","Dopamine","C01CA04"
"DB00989","Rivastigmine","N06DA03"
"DB00990","Exemestane","L02BG06"
"DB00991","Oxaprozin","M01AE12"
"DB00992","Methylaminolevulinate","L01XD03"
"DB00993","Azathioprine","L04AX01"
"DB00994","Neomycin","A01AB08"
"DB00995","Auranofin","M01CB03"
"DB00996","Gabapentin","N03AX12"
"DB00997","Doxorubicin","L01DB01"
"DB00998","Frovatriptan","N02CC07"
"DB00999","Hydrochlorothiazide","C03AA03"
"DB01001","Salbutamol","R03AC02"
"DB01002","Levobupivacaine","N01BB10"
"DB01003","Cromoglicicacid","R03BC01"
"DB01004","Ganciclovir","J05AB06"
"DB01005","Hydroxyurea","L01XX05"
"DB01006","Letrozole","L02BG04"
"DB01007","Tioconazole","D01AC07"
"DB01008","Busulfan","L01AB01"
"DB01009","Ketoprofen","M01AE03"
"DB01011","Metyrapone","V04CD01"
"DB01012","Cinacalcet","H05BX01"
"DB01014","Balsalazide","A07EC04"
"DB01015","Sulfamethoxazole","J01EC01"
"DB01016","Glyburide","A10BB01"
"DB01017","Minocycline","A01AB23"
"DB01018","Guanfacine","C02AC02"
"DB01019","Bethanechol","N07AB02"
"DB01020","IsosorbideMononitrate","C01DA14"
"DB01021","Trichlormethiazide","C03AA06"
"DB01022","Phylloquinone","B02BA01"
"DB01023","Felodipine","C08CA02"
"DB01024","Mycophenolicacid","L04AA06"
"DB01025","Amlexanox","A01AD07"
"DB01026","Ketoconazole","D01AC08"
"DB01028","Methoxyflurane","N02BG09"
"DB01029","Irbesartan","C09CA04"
"DB01030","Topotecan","L01XX17"
"DB01032","Probenecid","M04AB01"
"DB01033","Mercaptopurine","L01BB02"
"DB01035","Procainamide","C01BA02"
"DB01036","Tolterodine","G04BD07"
"DB01037","Selegiline","N04BD01"
"DB01039","Fenofibrate","C10AB05"
"DB01041","Thalidomide","L04AX02"
"DB01042","Melphalan","L01AA03"
"DB01043","Memantine","N06DX01"
"DB01044","Gatifloxacin","J01MA16"
"DB01045","Rifampicin","J04AB02"
"DB01046","Lubiprostone","A06AX03"
"DB01047","Fluocinonide","C05AA11"
"DB01048","Abacavir","J05AF06"
"DB01049","Ergoloidmesylate","C04AE01"
"DB01050","Ibuprofen","C01EB16"
"DB01053","Benzylpenicillin","J01CE01"
"DB01054","Nitrendipine","C08CA08"
"DB01056","Tocainide","C01BB03"
"DB01058","Praziquantel","P02BA01"
"DB01059","Norfloxacin","J01MA06"
"DB01060","Amoxicillin","J01CA04"
"DB01061","Azlocillin","J01CA09"
"DB01062","Oxybutynin","G04BD04"
"DB01063","Acetophenazine","N05AB07"
"DB01064","Isoprenaline","C01CA02"
"DB01065","Melatonin","N05CH01"
"DB01066","Cefditoren","J01DD16"
"DB01067","Glipizide","A10BB07"
"DB01068","Clonazepam","N03AE01"
"DB01069","Promethazine","D04AA10"
"DB01070","Dihydrotachysterol","A11CC02"
"DB01071","Mequitazine","R06AD07"
"DB01072","Atazanavir","J05AE08"
"DB01073","Fludarabine","L01BB05"
"DB01074","Perhexiline","C08EX02"
"DB01075","Diphenhydramine","D04AA32"
"DB01076","Atorvastatin","C10AA05"
"DB01077","Etidronicacid","M05BA01"
"DB01078","Deslanoside","C01AA07"
"DB01079","Tegaserod","A06AX06"
"DB01080","Vigabatrin","N03AG04"
"DB01081","Diphenoxylate","A07DA01"
"DB01082","Streptomycin","A07AA04"
"DB01083","Orlistat","A08AB01"
"DB01084","Emedastine","S01GX06"
"DB01085","Pilocarpine","N07AX01"
"DB01086","Benzocaine","C05AD03"
"DB01087","Primaquine","P01BA03"
"DB01088","Iloprost","B01AC11"
"DB01089","Deserpidine","C02AA05"
"DB01091","Butenafine","D01AE23"
"DB01092","Ouabain","C01AC01"
"DB01093","Dimethylsulfoxide","G04BX13"
"DB01095","Fluvastatin","C10AA04"
"DB01096","Oxamniquine","P02BA02"
"DB01097","Leflunomide","L04AA13"
"DB01098","Rosuvastatin","C10AA07"
"DB01099","Flucytosine","D01AE21"
"DB01100","Pimozide","N05AG02"
"DB01101","Capecitabine","L01BC06"
"DB01102","Arbutamine","C01CA22"
"DB01103","Quinacrine","P01AX05"
"DB01104","Sertraline","N06AB06"
"DB01105","Sibutramine","A08AA10"
"DB01106","Levocabastine","R01AC02"
"DB01107","Methyprylon","N05CE02"
"DB01108","Trilostane","H02CA01"
"DB01109","Heparin","B01AB01"
"DB01110","Miconazole","A01AB09"
"DB01112","Cefuroxime","J01DC02"
"DB01113","Papaverine","A03AD01"
"DB01114","Chlorphenamine","R06AB04"
"DB01115","Nifedipine","C08CA05"
"DB01116","Trimethaphan","C02BA01"
"DB01117","Atovaquone","P01AX06"
"DB01118","Amiodarone","C01BD01"
"DB01119","Diazoxide","C02DA01"
"DB01120","Gliclazide","A10BB09"
"DB01121","Phenacemide","N03AX07"
"DB01122","Ambenonium","N07AA30"
"DB01124","Tolbutamide","A10BB03"
"DB01126","Dutasteride","G04CB02"
"DB01127","Econazole","D01AC03"
"DB01128","Bicalutamide","L02BB03"
"DB01129","Rabeprazole","A02BC04"
"DB01130","Prednicarbate","D07AC18"
"DB01131","Proguanil","P01BB01"
"DB01132","Pioglitazone","A10BG03"
"DB01133","Tiludronate","M05BA05"
"DB01135","Doxacuriumchloride","M03AC07"
"DB01136","Carvedilol","C07AG02"
"DB01137","Levofloxacin","J01MA12"
"DB01138","Sulfinpyrazone","M04AB02"
"DB01139","Cefapirin","J01DB08"
"DB01140","Cefadroxil","J01DB05"
"DB01141","Micafungin","J02AX05"
"DB01142","Doxepin","N06AA12"
"DB01143","Amifostine","V03AF05"
"DB01144","Diclofenamide","S01EC02"
"DB01146","Diphenylpyraline","R06AA07"
"DB01147","Cloxacillin","J01CF02"
"DB01148","Flavoxate","G04BD02"
"DB01149","Nefazodone","N06AX06"
"DB01150","Cefprozil","J01DC10"
"DB01151","Desipramine","N06AA01"
"DB01153","Sertaconazole","D01AC14"
"DB01155","Gemifloxacin","J01MA15"
"DB01156","Bupropion","N06AX12"
"DB01157","Trimetrexate","P01AX07"
"DB01159","Halothane","N01AB01"
"DB01161","Chloroprocaine","N01BA04"
"DB01162","Terazosin","G04CA03"
"DB01164","CalciumChloride","A12AA07"
"DB01165","Ofloxacin","J01MA01"
"DB01166","Cilostazol","B01AC23"
"DB01167","Itraconazole","J02AC02"
"DB01168","Procarbazine","L01XB01"
"DB01169","Arsenictrioxide","L01XX27"
"DB01170","Guanethidine","C02CC02"
"DB01171","Moclobemide","N06AG02"
"DB01172","Kanamycin","A07AA08"
"DB01174","Phenobarbital","N03AA02"
"DB01175","Escitalopram","N06AB10"
"DB01176","Cyclizine","R06AE03"
"DB01177","Idarubicin","L01DB06"
"DB01178","Chlormezanone","M03BB02"
"DB01179","Podofilox","D06BB04"
"DB01180","Rescinnamine","C02AA01"
"DB01181","Ifosfamide","L01AA06"
"DB01182","Propafenone","C01BC03"
"DB01183","Naloxone","V03AB15"
"DB01184","Domperidone","A03FA03"
"DB01185","Fluoxymesterone","G03BA01"
"DB01186","Pergolide","N04BC02"
"DB01188","Ciclopirox","D01AE14"
"DB01189","Desflurane","N01AB07"
"DB01190","Clindamycin","D10AF01"
"DB01191","Dexfenfluramine","A08AA04"
"DB01193","Acebutolol","C07AB04"
"DB01194","Brinzolamide","S01EC04"
"DB01195","Flecainide","C01BC04"
"DB01196","Estramustine","L01XX11"
"DB01197","Captopril","C09AA01"
"DB01198","Zopiclone","N05CF01"
"DB01199","Tubocurarine","M03AA02"
"DB01200","Bromocriptine","G02CB01"
"DB01201","Rifapentine","J04AB05"
"DB01202","Levetiracetam","N03AX14"
"DB01203","Nadolol","C07AA12"
"DB01204","Mitoxantrone","L01DB07"
"DB01205","Flumazenil","V03AB25"
"DB01206","Lomustine","L01AD02"
"DB01208","Sparfloxacin","J01MA09"
"DB01209","Dezocine","N02AX03"
"DB01210","Levobunolol","S01ED03"
"DB01211","Clarithromycin","J01FA09"
"DB01212","Ceftriaxone","J01DD04"
"DB01213","Fomepizole","V03AB34"
"DB01214","Metipranolol","S01ED04"
"DB01215","Estazolam","N05CD04"
"DB01216","Finasteride","D11AX10"
"DB01217","Anastrozole","L02BG03"
"DB01218","Halofantrine","P01BX01"
"DB01219","Dantrolene","M03CA01"
"DB01220","Rifaximin","A07AA11"
"DB01221","Ketamine","N01AX03"
"DB01222","Budesonide","A07EA06"
"DB01223","Aminophylline","R03DA05"
"DB01224","Quetiapine","N05AH04"
"DB01225","Enoxaparin","B01AB05"
"DB01227","LevomethadylAcetate","N07BC03"
"DB01228","Encainide","C01BC08"
"DB01229","Paclitaxel","L01CD01"
"DB01232","Saquinavir","J05AE01"
"DB01233","Metoclopramide","A03FA01"
"DB01234","Dexamethasone","A01AC02"
"DB01235","L-DOPA","N04BA01"
"DB01236","Sevoflurane","N01AB08"
"DB01237","Bromodiphenhydramine","R06AA01"
"DB01238","Aripiprazole","N05AX12"
"DB01239","Chlorprothixene","N05AF03"
"DB01240","Epoprostenol","B01AC09"
"DB01241","Gemfibrozil","C10AB04"
"DB01242","Clomipramine","N06AA04"
"DB01244","Bepridil","C08EA02"
"DB01246","Alimemazine","R06AD01"
"DB01247","Isocarboxazid","N06AF01"
"DB01248","Docetaxel","L01CD02"
"DB01249","Iodixanol","V08AB09"
"DB01250","Olsalazine","A07EC03"
"DB01251","Gliquidone","A10BB08"
"DB01252","Mitiglinide","A10BX08"
"DB01253","Ergonovine","G02AB03"
"DB01254","Dasatinib","L01XE06"
"DB01255","Lisdexamfetamine","N06BA12"
"DB01256","Retapamulin","D06AX13"
"DB01257","Eculizumab","L04AA25"
"DB01259","Lapatinib","L01XE07"
"DB01260","Desonide","D07AB08"
"DB01261","Sitagliptin","A10BH01"
"DB01262","Decitabine","L01BC08"
"DB01263","Posaconazole","J02AC04"
"DB01264","Darunavir","J05AE10"
"DB01265","Telbivudine","J05AF11"
"DB01267","Paliperidone","N05AX13"
"DB01268","Sunitinib","L01XE04"
"DB01269","Panitumumab","L01XC08"
"DB01270","Ranibizumab","S01LA04"
"DB01271","Idursulfase","A16AB09"
"DB01272","Alglucosidasealfa","A16AB07"
"DB01273","Varenicline","N07BA03"
"DB01275","Hydralazine","C02DB02"
"DB01276","Exenatide","A10BX04"
"DB01277","Mecasermin","H01AC03"
"DB01278","Pramlintide","A10BX05"
"DB01279","Galsulfase","A16AB08"
"DB01280","Nelarabine","L01BB07"
"DB01281","Abatacept","L04AA24"
"DB01282","Carbetocin","H01BB03"
"DB01283","Lumiracoxib","M01AH06"
"DB01284","Cosyntropin","H01AA02"
"DB01285","Corticotropin","H01AA01"
"DB01288","Fenoterol","G02CA03"
"DB01289","Glisoxepide","A10BB11"
"DB01291","Pirbuterol","R03AC08"
"DB01295","Bevantolol","C07AB06"
"DB01296","Glucosamine","M01AX05"
"DB01297","Practolol","C07AB01"
"DB01301","Rolitetracycline","J01AA09"
"DB01303","Oxtriphylline","R03DA02"
"DB01306","InsulinAspart","A10AB05"
"DB01307","InsulinDetemir","A10AE05"
"DB01309","InsulinGlulisine","A10AB06"
"DB01319","Fosamprenavir","J05AE07"
"DB01320","Fosphenytoin","N03AB05"
"DB01321","Josamycin","J01FA07"
"DB01324","Polythiazide","C03AA05"
"DB01325","Quinethazone","C03BA02"
"DB01326","Cefamandole","J01DC03"
"DB01327","Cefazolin","J01DB04"
"DB01328","Cefonicid","J01DC06"
"DB01329","Cefoperazone","J01DD12"
"DB01330","Cefotetan","J01DC05"
"DB01331","Cefoxitin","J01DC01"
"DB01332","Ceftizoxime","J01DD07"
"DB01333","Cefradine","J01DB09"
"DB01336","Metocurine","M03AA04"
"DB01337","Pancuronium","M03AC01"
"DB01339","Vecuronium","M03AC03"
"DB01340","Cilazapril","C09AA08"
"DB01344","Polystyrenesulfonate","V03AE01"
"DB01348","Spirapril","C09AA11"
"DB01349","Tasosartan","C09CA05"
"DB01351","Amobarbital","N05CA02"
"DB01352","Aprobarbital","N05CA05"
"DB01353","Butethal","N05CA03"
"DB01354","Heptabarbital","N05CA11"
"DB01355","Hexobarbital","N01AF02"
"DB01356","Lithium","N05AN01"
"DB01359","Penbutolol","C07AA23"
"DB01361","Troleandomycin","J01FA08"
"DB01362","Iohexol","V08AB02"
"DB01364","Ephedrine","C01CA26"
"DB01365","Mephentermine","C01CA11"
"DB01366","Procaterol","R03AC16"
"DB01367","Rasagiline","N04BD02"
"DB01377","Magnesiumoxide","A02AA02"
"DB01381","Ginkgobiloba","N06DX02"
"DB01382","Glycodiazine","A10BC01"
"DB01384","Paramethasone","H02AB05"
"DB01390","Sodiumbicarbonate","B05CB04"
"DB01392","Yohimbine","G04BE04"
"DB01393","Bezafibrate","C10AB02"
"DB01394","Colchicine","M04AC01"
"DB01396","Digitoxin","C01AA04"
"DB01399","Salsalate","N02BA06"
"DB01400","Neostigmine","N07AA01"
"DB01403","Methotrimeprazine","N05AA02"
"DB01406","Danazol","G03XA01"
"DB01407","Clenbuterol","R03AC14"
"DB01408","Bambuterol","R03CC12"
"DB01410","Ciclesonide","R01AD13"
"DB01411","Pranlukast","R03DC02"
"DB01412","Theobromine","C03BD01"
"DB01413","Cefepime","J01DE01"
"DB01414","Cefacetrile","J01DB10"
"DB01415","Ceftibuten","J01DD14"
"DB01416","Cefpodoxime","J01DD13"
"DB01418","Acenocoumarol","B01AA07"
"DB01421","Paromomycin","A07AA06"
"DB01422","Nitroxoline","J01XX07"
"DB01423","Stepronin","R05CB11"
"DB01424","Aminophenazone","N02BB03"
"DB01425","Alizapride","A03FA05"
"DB01426","Ajmaline","C01BA05"
"DB01427","Amrinone","C01CE01"
"DB01429","Aprindine","C01BB04"
"DB01430","Almitrine","R07AB07"
"DB01431","Allylestrenol","G03DC01"
"DB01432","Cholestyramine","C10AC01"
"DB01435","Antipyrine","N02BB01"
"DB01436","Alfacalcidol","A11CC03"
"DB01437","Glutethimide","N05CE01"
"DB01438","Phenazopyridine","G04BX06"
"DB01452","Heroin","N07BC06"
"DB01463","Fencamfamine","N06BA06"
"DB01466","Ethylmorphine","R05DA01"
"DB01482","Fenethylline","N06BA10"
"DB01489","Camazepam","N05BA15"
"DB01501","Difenoxin","A07DA04"
"DB01544","Flunitrazepam","N05CD03"
"DB01545","Ethylloflazepate","N05BA18"
"DB01551","Dihydrocodeine","N02AA08"
"DB01553","Cloxazolam","N05BA22"
"DB01558","Bromazepam","N05BA08"
"DB01559","Clotiazepam","N05BA21"
"DB01567","Fludiazepam","N05BA17"
"DB01574","Attapulgite","A07BC04"
"DB01575","Kaolin","A07BC02"
"DB01578","Metrizamide","V08AB01"
"DB01580","Oxprenolol","C07AA02"
"DB01581","Sulfamerazine","D06BA06"
"DB01582","Sulfamethazine","J01EB03"
"DB01586","Ursodeoxycholicacid","A05AA02"
"DB01587","Ketazolam","N05BA10"
"DB01588","Prazepam","N05BA11"
"DB01589","Quazepam","N05CD10"
"DB01590","Everolimus","L01XE10"
"DB01591","Solifenacin","G04BD08"
"DB01594","Cinolazepam","N05CD13"
"DB01595","Nitrazepam","N05CD02"
"DB01599","Probucol","C10AX02"
"DB01600","Tiaprofenicacid","M01AE11"
"DB01602","Bacampicillin","J01CA06"
"DB01603","Meticillin","J01CF03"
"DB01604","Pivampicillin","J01CA02"
"DB01605","Pivmecillinam","J01CA08"
"DB01606","Tazobactam","J01CG02"
"DB01607","Ticarcillin","J01CA13"
"DB01608","Propericiazine","N05AC01"
"DB01609","Deferasirox","V03AC03"
"DB01610","Valganciclovir","J05AB14"
"DB01611","Hydroxychloroquine","P01BA02"
"DB01612","AmylNitrite","V03AB22"
"DB01613","ErythritylTetranitrate","C01DA13"
"DB01614","Acepromazine","N05AA04"
"DB01616","Alverine","A03AX08"
"DB01618","Molindone","N05AE02"
"DB01619","Phenindamine","R06AX04"
"DB01620","Pheniramine","D04AA16"
"DB01621","Pipotiazine","N05AC04"
"DB01622","Thioproperazine","N05AB08"
"DB01623","Thiothixene","N05AF04"
"DB01624","Zuclopenthixol","N05AF05"
"DB01625","Isopropamide","A03AB09"
"DB01626","Pargyline","C02KC01"
"DB01627","Lincomycin","J01FF02"
"DB01628","Etoricoxib","M01AH05"
"DB01656","Roflumilast","R03DX07"
"DB01708","Dehydroepiandrosterone","A14AA07"
"DB02300","Calcipotriol","D05AX02"
"DB02546","Vorinostat","L01XX38"
"DB02638","Terlipressin","H01BA04"
"DB02703","FusidicAcid","D06AX01"
"DB02959","Oxitriptan","N06AX01"
"DB03166","Aceticacid","G01AD02"
"DB03255","Phenol","C05BB05"
"DB03852","Eucalyptol","R05CA13"
"DB04272","CitricAcid","A09AB04"
"DB04335","Inosine","D06BB05"
"DB04552","NiflumicAcid","M01AX02"
"DB04570","Latamoxef","J01DD06"
"DB04571","Trioxsalen","D05AD01"
"DB04572","Thiotepa","L01AC01"
"DB04573","Estriol","G03CA04"
"DB04576","Fleroxacin","J01MA08"
"DB04711","Iodipamide","V08AC04"
"DB04794","Bifonazole","D01AC10"
"DB04816","Dantron","A06AB03"
"DB04835","Maraviroc","J05AX09"
"DB04837","Clofedanol","R05DB10"
"DB04838","Cyclandelate","C04AX01"
"DB04840","Debrisoquin","C02CC04"
"DB04841","Flunarizine","N07CA03"
"DB04842","Fluspirilene","N05AG01"
"DB04843","Mepenzolate","A03AB12"
"DB04844","Tetrabenazine","N07XX06"
"DB04845","Ixabepilone","L01DC04"
"DB04855","Dronedarone","C01BD07"
"DB04861","Nebivolol","C07AB12"
"DB04865","Homoharringtonine","L01XX40"
"DB04868","Nilotinib","L01XE08"
"DB04871","Lorcaserin","A08AA11"
"DB04876","Vildagliptin","A10BH02"
"DB04878","Voglibose","A10BF03"
"DB04880","Enoximone","C01CE03"
"DB04884","Dapoxetine","G04BX14"
"DB04885","Cilansetron","A03AE03"
"DB04894","Vapreotide","H01CB04"
"DB04895","Pegaptanib","S01LA03"
"DB04896","Milnacipran","N06AX17"
"DB04898","Ximelagatran","B01AE05"
"DB04899","Nesiritide","C01DX19"
"DB04907","EG009","L01XX37"
"DB04911","Oritavancin","J01XA05"
"DB04918","Ceftobiprole","J01DI01"
"DB04920","Clevidipine","C08CA16"
"DB04924","Itopride","A03FA07"
"DB04930","Permethrin","P03AC04"
"DB04932","Defibrotide","B01AX01"
"DB04938","Ospemifene","G03XC05"
"DB04944","Acadesine","C01EB13"
"DB04946","Iloperidone","N05AX14"
"DB04948","Lofexidine","N07BC04"
"DB04951","Pirfenidone","L04AX05"
"DB04953","Ezogabine","N03AX21"
"DB04956","Afelimomab","L04AB03"
"DB04996","Satraplatin","L01XA04"
"DB05013","IngenolMebutate","D06BX02"
"DB05039","Indacaterol","R03AC18"
"DB05057","Erdosteine","R05CB15"
"DB05099","Ancrod","B01AD09"
"DB05105","Pleconaril","J05AX06"
"DB05109","Trabectedin","L01CX01"
"DB05229","Beraprost","B01AC19"
"DB05245","Silversulfadiazine","D06BA01"
"DB05246","Methsuximide","N03AD03"
"DB05259","GlatiramerAcetate","L03AX13"
"DB05266","Ibudilast","R03DC04"
"DB05271","Rotigotine","N04BC09"
"DB05294","Vandetanib","L01XE12"
"DB05332","Romiplostim","B02BX04"
"DB05351","TAK-390MR","A02BC06"
"DB05381","histaminedihydrochloride","L03AX14"
"DB05521","Telaprevir","J05AE11"
"DB05528","Mipomersen","C10AX11"
"DB05630","Sodiumstibogluconate","P01CB02"
"DB05679","Ustekinumab","L04AC05"
"DB05773","ado-trastuzumabemtansine","L01XC14"
"DB05812","Abiraterone","L02BX03"
"DB05829","Preotact","H05AA03"
"DB06144","Sertindole","N05AE03"
"DB06147","Sulfathiazole","D06BA02"
"DB06148","Mianserin","N06AX03"
"DB06149","Teicoplanin","J01XA02"
"DB06150","Sulfadimethoxine","J01ED01"
"DB06151","Acetylcysteine","R05CB01"
"DB06155","Rimonabant","A08AX01"
"DB06168","Canakinumab","L04AC08"
"DB06186","Ipilimumab","L01XC11"
"DB06193","Pixantrone","L01DB11"
"DB06196","Icatibant","B06AC02"
"DB06201","Rufinamide","N03AF03"
"DB06203","Alogliptin","A10BH04"
"DB06204","Tapentadol","N02AX06"
"DB06207","Silodosin","G04CA04"
"DB06209","Prasugrel","B01AC22"
"DB06210","Eltrombopag","B02BX05"
"DB06212","Tolvaptan","C03XA01"
"DB06213","Regadenoson","C01EB21"
"DB06216","Asenapine","N05AH05"
"DB06218","Lacosamide","N03AX18"
"DB06228","Rivaroxaban","B01AF01"
"DB06237","Avanafil","G04BE10"
"DB06267","Udenafil","G04BE11"
"DB06268","Sitaxentan","C02KX03"
"DB06271","Sulodexide","B01AB11"
"DB06273","Tocilizumab","L04AC07"
"DB06274","Alvimopan","A06AH02"
"DB06285","Teriparatide","H05AA02"
"DB06287","Temsirolimus","L01XE09"
"DB06288","Amisulpride","N05AL05"
"DB06290","Simeprevir","J05AE14"
"DB06292","Dapagliflozin","A10BX09"
"DB06335","Saxagliptin","A10BH03"
"DB06366","Pertuzumab","L01XC13"
"DB06372","Rilonacept","L04AC04"
"DB06402","Telavancin","J01XA03"
"DB06414","Etravirine","J05AG04"
"DB06439","Tyloxapol","R05CA01"
"DB06589","Pazopanib","L01XE11"
"DB06590","Ceftarolinefosamil","J01DI02"
"DB06594","Agomelatine","N06AX22"
"DB06605","Apixaban","B01AF02"
"DB06616","Bosutinib","L01XE14"
"DB06623","Flupirtine","N02BG07"
"DB06626","Axitinib","L01XE17"
"DB06637","Dalfampridine","N07XX07"
"DB06643","Denosumab","M05BX04"
"DB06655","Liraglutide","A10BX07"
"DB06663","Pasireotide","H01CB05"
"DB06674","golimumab","L04AB06"
"DB06681","Belatacept","L04AA28"
"DB06684","Vilazodone","N06AX24"
"DB06689","EthanolamineOleate","C05BB01"
"DB06690","Nitrousoxide","N01AX13"
"DB06691","Mepyramine","D04AA02"
"DB06692","Aprotinin","B02AB01"
"DB06694","Xylometazoline","R01AA07"
"DB06695","Dabigatranetexilate","B01AE07"
"DB06696","Arbekacin","J01GB12"
"DB06697","Artemether","P01BE02"
"DB06698","Betahistine","N07CA01"
"DB06699","Degarelix","L02BX02"
"DB06700","Desvenlafaxine","N06AX23"
"DB06701","Dexmethylphenidate","N06BA11"
"DB06702","Fesoterodine","G04BD11"
"DB06703","Gadobutrol","V08CA09"
"DB06705","Gadofosvesettrisodium","V08CA11"
"DB06706","Isometheptene","A03AX10"
"DB06710","Methyltestosterone","G03BA02"
"DB06711","Naphazoline","R01AA08"
"DB06712","Nilvadipine","C08CA10"
"DB06715","PotassiumIodide","R05CA02"
"DB06718","Stanozolol","A14AA02"
"DB06719","Buserelin","L02AE01"
"DB06720","Velaglucerasealfa","A16AB10"
"DB06724","Calciumcarbonate","A02AC01"
"DB06725","Lornoxicam","M01AC05"
